Year,Name,Mileage,Rating,Review Count,Price
2021,Mercedes-Benz A-Class A 220 4MATIC,29636,3.9,1800,30900
2022,Mercedes-Benz AMG SL 63 Base,5540,4.7,1239,139999
2022,Mercedes-Benz AMG SL 63 Base,4890,4.7,1239,132999
2020,Mercedes-Benz AMG E 53 Base 4MATIC,29746,4.8,752,58587
2021,Mercedes-Benz AMG GLS 63 Base 4MATIC,32631,5,1502,95990
2022,Mercedes-Benz AMG E 53 Base 4MATIC,3573,4.7,1239,74999
2022,Mercedes-Benz AMG SL 63 Base,1254,4.7,1239,130999
2023,Mercedes-Benz GLE 350 Base 4MATIC,23071,3.2,98,55995
2021,Mercedes-Benz AMG GT C,15755,4.8,902,71999
2023,Mercedes-Benz AMG CLA 45 Base 4MATIC,2910,4.5,344,62975
2021,Mercedes-Benz AMG GT 53 Base,17499,4.7,1594,82895
2023,Mercedes-Benz EQB 250 Base,3159,4.6,585,50226
2019,Mercedes-Benz CLA 250 Base 4MATIC,61419,4,377,22495
2023,Mercedes-Benz GLE 450 GLE 450,15009,4.8,899,63998
2020,Mercedes-Benz SL 450 SL 450,14021,4.3,352,65024
2023,Mercedes-Benz EQE 350 Base 4MATIC,3083,4.9,2166,69771
2023,Mercedes-Benz GLC 300 Base 4MATIC,4425,4,377,51995
2020,Mercedes-Benz AMG E 53 Base 4MATIC,12705,4.5,991,57877
2021,Mercedes-Benz AMG GLC 43 4MATIC Coupe,20431,4.7,1424,53977
2017,Mercedes-Benz SLC 300 Base,61614,4.5,1050,22498
2021,Mercedes-Benz A-Class A 220,29909,,150,28784
2020,Mercedes-Benz SL 450 Base,12708,4.7,1948,67800
2020,Mercedes-Benz GLE 450 4MATIC,44343,3.8,146,42595
2023,Mercedes-Benz EQS 450+ 450,10714,4,526,74788
2023,Mercedes-Benz AMG CLA 45 AMG CLA 45 4MATIC,7709,4.3,352,58770
2022,Mercedes-Benz AMG CLA 45 Base 4MATIC,28446,4.7,1371,53690
2023,Mercedes-Benz AMG CLA 35 Base 4MATIC,4559,4.9,2118,46900
2019,Mercedes-Benz CLS 450 Base,38471,4.8,1094,38996
2024,Mercedes-Benz GLE 350 Base 4MATIC,6110,4.7,192,69306
2019,Mercedes-Benz CLS 450 Base 4MATIC,55090,4.6,716,39442
2024,Mercedes-Benz GLS 580 Base 4MATIC,8115,4.6,483,112749
2021,Mercedes-Benz AMG CLS 53 4MATIC,31574,4.8,1291,57900
2023,Mercedes-Benz EQB 250 250 4D Sport Utility,2236,4.7,94,49995
2022,Mercedes-Benz Maybach S 580 4MATIC,11489,4.7,662,153722
2023,Mercedes-Benz GLB 250 Base,7795,4.3,352,43855
2020,Mercedes-Benz GLS 450 Base 4MATIC,39881,,37,50563
2019,Mercedes-Benz AMG E 63 S 4MATIC,18398,4.7,2931,74887
2020,Mercedes-Benz GLE 580 4MATIC,15029,4.7,662,59413
2022,Mercedes-Benz AMG E 53 Base 4MATIC,9795,4.8,2468,68983
2021,Mercedes-Benz CLS 450 Base 4MATIC,37405,4.2,821,46300
2019,Mercedes-Benz AMG C 63 S,32905,4.5,344,62421
2022,Mercedes-Benz AMG G 63 4MATIC,16044,3,33,198000
2020,Mercedes-Benz GLE 350 Base 4MATIC,58175,3.9,1800,36900
2021,Mercedes-Benz AMG GLE 53 Base,46859,4.5,344,62292
2019,Mercedes-Benz Sprinter 3500 144 WB ROOF,69676,,50,45991
2020,Mercedes-Benz AMG E 53 Base 4MATIC,21826,4.8,788,50299
2019,Mercedes-Benz AMG S 63 Base 4MATIC,53331,4.4,1231,98984
2023,Mercedes-Benz GLE 450 4MATIC,15142,,15,65992
2024,Mercedes-Benz GLE 450 Plug-In Hybrid 4MATIC,3518,4.7,244,77700
2023,Mercedes-Benz GLE 450 4MATIC,14929,,15,65514
2021,Mercedes-Benz GLS 450 4MATIC,37995,,150,54660
2021,Mercedes-Benz G-Class G 550 4MATIC,22646,4.5,991,143554
2020,Mercedes-Benz SL 450 Base,12708,4.7,1948,67800
2020,Mercedes-Benz GLS 450 Base 4MATIC,36526,4.7,2891,54000
2020,Mercedes-Benz AMG E 53 Base 4MATIC,34707,4.9,2783,57463
2021,Mercedes-Benz AMG GT 53 Base,17198,4.3,419,84997
2023,Mercedes-Benz EQS 450+ 450,10625,4,526,74377
2023,Mercedes-Benz AMG C 43 Base 4MATIC,4309,4.7,1372,57900
2023,Mercedes-Benz AMG CLA 35 4MATIC,13665,4.7,192,49913
2016,Mercedes-Benz GL-Class GL 450 4MATIC,68216,4.8,894,21082
2023,Mercedes-Benz G-Class G 550 4MATIC,25277,4.5,991,161775
2021,Mercedes-Benz AMG GT 53 Base,30865,4.3,1491,79711
2017,Mercedes-Benz AMG C 63 S,46460,4.9,4585,48500
2020,Mercedes-Benz GLS 450 Base 4MATIC,45089,3.9,1800,50900
2023,Mercedes-Benz Metris Base,145,,1,39950
2023,Mercedes-Benz Metris Base,12718,4.6,483,54018
2021,Mercedes-Benz AMG A 35 Base,25449,4.2,344,38963
2023,Mercedes-Benz EQS 580 Base 4MATIC,3937,4.9,2166,107552
2017,Mercedes-Benz SL 550 SL550,40531,4.6,1899,50595
2021,Mercedes-Benz GLA 250 Base 4MATIC,30790,,1,29999
2020,Mercedes-Benz AMG E 53 4MATIC,38052,4.3,112,47562
2022,Mercedes-Benz GLE 350 Base,37955,,15,50888
2020,Mercedes-Benz AMG S 63 Base 4MATIC,20328,4.8,1735,95981
2019,Mercedes-Benz AMG GT 63 S 4-Door,25850,4.3,1491,98555
2024,Mercedes-Benz GLC 300 Base,2018,4,526,57445
2019,Mercedes-Benz AMG GT 63 4-Door,17046,4.9,2516,94995
2023,Mercedes-Benz GLB 250 Base,7577,4.3,352,43105
2016,Mercedes-Benz Maybach S S 600,49565,4.5,819,55998
2018,Mercedes-Benz S-Class S 450,40020,,12,41000
2023,Mercedes-Benz GLA 250 Base,4188,,150,39237
2023,Mercedes-Benz E-Class E 350 4MATIC,10208,,28,58798
2021,Mercedes-Benz A-Class A 220 4MATIC,12829,,79,30880
2020,Mercedes-Benz A-Class A 220 4MATIC,48598,,0,26499
2020,Mercedes-Benz GLC 300 Base 4MATIC,39165,5,98,33497
2022,Mercedes-Benz Maybach S 580 4MATIC,6488,4.9,1411,177595
2016,Mercedes-Benz AMG S AMG S 63 4MATIC,26270,4.5,819,69998
2024,Mercedes-Benz AMG GLE 63 S,5742,4.3,419,120997
2020,Mercedes-Benz G-Class G 550 4MATIC,10148,,1,142000
2023,Mercedes-Benz EQB 250 Base,7145,4.8,1018,48000
2021,Mercedes-Benz GLS 580 Base 4MATIC,31248,4.6,1018,73998
2023,Mercedes-Benz GLE 450 4MATIC,15151,,15,65444
2023,Mercedes-Benz GLE 450 GLE 450,13576,4.8,899,69997
2020,Mercedes-Benz AMG GT R,8198,4.9,4585,157500
2023,Mercedes-Benz CLA 250 Base,6282,4.8,1735,45705
2021,Mercedes-Benz AMG GT 63 4-Door,12007,4.3,1491,114750
2022,Mercedes-Benz E-Class E 350,37992,4.8,902,41948
2023,Mercedes-Benz AMG SL 43 4MATIC+,1053,4.7,192,99805
2023,Mercedes-Benz Metris Base,1549,,1,39950
2023,Mercedes-Benz AMG GLC 43 4MATIC Coupe,10320,4.7,192,67910
2023,Mercedes-Benz AMG C 43 Base 4MATIC,6889,4.6,716,60312
2019,Mercedes-Benz AMG GLE 63 S 4MATIC Coupe,44003,4.3,419,58997
2020,Mercedes-Benz E-Class 4MATIC,32608,4.8,902,35824
2023,Mercedes-Benz GLC 300 Base 4MATIC,3758,4,377,55995
2024,Mercedes-Benz GLE 350 Base 4MATIC,5538,,543,70991
2023,Mercedes-Benz AMG GLE 53 Base,25673,4.7,1371,86690
2020,Mercedes-Benz GLS 450 Base 4MATIC,45089,3.9,1800,50900
2023,Mercedes-Benz AMG CLA 35 Base 4MATIC,10877,,15,49400
2023,Mercedes-Benz EQB 350 4MATIC,2336,3.4,468,60994
2019,Mercedes-Benz AMG GLC 63 Base 4MATIC,16980,4.5,2057,53922
2024,Mercedes-Benz GLE 350 Base 4MATIC,8213,4.3,352,67585
2022,Mercedes-Benz AMG C 43 Base 4MATIC,7135,4.6,716,56940
2021,Mercedes-Benz GLS 580 Base 4MATIC,53509,4.6,417,62704
2023,Mercedes-Benz AMG G 63 4MATIC,6061,4.9,274,209995
2018,Mercedes-Benz SL 450 Base,18458,4.3,443,55000
2015,Mercedes-Benz S-Class S 550 4MATIC,69897,4.7,1371,41690
2023,Mercedes-Benz GLB 250 Base,5192,4.9,2166,44744
2020,Mercedes-Benz SL 450 Base,8120,4.6,981,65999
2019,Mercedes-Benz AMG GLE 43 Base 4MATIC,48608,4.8,899,49983
2023,Mercedes-Benz AMG GLE 53 Base,14967,4.7,1371,87390
2020,Mercedes-Benz Maybach S 650 Base,35788,4.6,585,111326
2016,Mercedes-Benz AMG S AMG S 63 4MATIC,19821,4.8,1291,68500
2023,Mercedes-Benz GLE 450 4MATIC,18901,,15,67515
2022,Mercedes-Benz A-Class A 220 4MATIC,10605,4.6,696,33999
2020,Mercedes-Benz A-Class A 220 4MATIC,11770,4.8,1354,31293
2023,Mercedes-Benz GLE 450 GLE 450,16147,4.8,899,69997
2022,Mercedes-Benz AMG GT 53 Base,6149,4.7,1239,99999
2024,Mercedes-Benz GLE 450 Plug-In Hybrid Base 4MATIC,4354,3.9,1800,78900
2021,Mercedes-Benz AMG GLB 35 Base,53699,4.6,266,36880
2023,Mercedes-Benz GLB 250 Base,6419,4.7,110,42499
2016,Mercedes-Benz GLC-Class GLC 300,47533,4.6,1018,20999
2023,Mercedes-Benz Sprinter 2500 Standard Roof,15492,4.8,752,74988
2020,Mercedes-Benz CLA 250 Base,48928,,1,28000
2021,Mercedes-Benz A-Class A 220 4MATIC,45105,4.7,316,26540
2021,Mercedes-Benz AMG GLS 63 Base 4MATIC,32001,4.8,2468,94984
2023,Mercedes-Benz AMG E 53 Base 4MATIC,1847,4.7,2879,86975
2023,Mercedes-Benz AMG E 53 4MATIC,4389,4.8,527,77000
2023,Mercedes-Benz EQB 350 Base 4MATIC,3526,4.7,1372,53900
2023,Mercedes-Benz AMG GLE 63 S,13740,4.3,419,112997
2023,Mercedes-Benz C-Class C 300 4MATIC,4484,4.6,696,46888
2023,Mercedes-Benz GLS 580 4MATIC,2505,4.4,297,97397
2023,Mercedes-Benz EQB 350 Base 4MATIC,2027,4.7,2308,49777
2023,Mercedes-Benz CLA 250 Base 4MATIC,1264,,1,41200
2023,Mercedes-Benz GLB 250 Base,7563,4.6,1915,43777
